Date,MSFT,NVDA,GOOGL,AMZN,META,TSM,ASML,ADBE,IBM,ANET
2018-06-13,94.28434753417969,6.497141361236572,57.004852294921875,85.24299621582031,191.6778106689453,32.65694808959961,201.08865356445312,256.1300048828125,103.35680389404297,17.571250915527344
2018-06-14,94.81724548339844,6.608811378479004,57.79598617553711,86.19300079345703,196.06105041503906,32.280616760253906,203.10189819335938,258.1000061035156,102.54466247558594,17.56999969482422
2018-06-15,93.61119842529297,6.567955493927002,57.75413513183594,85.79850006103516,195.10472106933594,32.35588455200195,202.09527587890625,251.82000732421875,102.6788101196289,17.91374969482422
2018-06-18,94.293701171875,6.563747882843018,58.965248107910156,86.18949890136719,197.55535888671875,31.9879150390625,198.5956268310547,255.69000244140625,102.03617858886719,17.451250076293945
2018-06-19,94.293701171875,6.441925525665283,58.72163009643555,86.73899841308594,196.7384796142578,31.4108829498291,193.96705627441406,251.74000549316406,101.62657928466797,17.112499237060547
2018-06-20,95.23796081542969,6.494915008544922,58.989654541015625,87.50399780273438,201.23130798339844,32.07154846191406,193.3273162841797,251.24000549316406,100.72966003417969,17.733749389648438
2018-06-21,94.5554428100586,6.366158962249756,58.260799407958984,86.51100158691406,200.73321533203125,31.461055755615234,192.14198303222656,248.8300018310547,99.7550277709961,17.457500457763672
2018-06-22,93.87297821044922,6.213634014129639,58.25333023071289,85.78350067138672,200.9722900390625,31.87920379638672,194.1458282470703,243.6300048828125,99.77622985839844,17.040624618530273
2018-06-25,91.98448944091797,5.920719146728516,56.75824737548828,83.15750122070312,195.60281372070312,31.64947509765625,185.00152587890625,239.67999267578125,98.01773071289062,16.24250030517578
2018-06-26,92.62956237792969,5.991779804229736,56.42644500732422,84.55449676513672,198.24270629882812,31.606122970581055,186.24334716796875,242.25,98.2225112915039,16.39875030517578
2018-06-27,91.18983459472656,5.836533546447754,55.64528274536133,83.02549743652344,195.09475708007812,30.782611846923828,182.41445922851562,237.67999267578125,97.0925521850586,15.8931245803833
2018-06-28,92.20887756347656,5.963802337646484,56.13550567626953,85.07250213623047,195.48326110839844,31.155357360839844,182.11341857910156,239.80999755859375,98.90050506591797,16.141874313354492
2018-06-29,92.19017791748047,5.865749835968018,56.25556945800781,84.98999786376953,193.58053588867188,31.692821502685547,186.24334716796875,243.80999755859375,98.66039276123047,16.093124389648438
